CLIENT,NAME,PRODUCT_TYPE,ACTION,ACTION,DATE_TRANSACTION,QTY,UNIT_PRICE,ISIN_CODE,STOCK_LIBELLE,CURRENCY,TOTAL_AMOUNT,ACTION_TYPE,'CHF_'||CURRENCY,RATE_EUR,RATE_USD
200341,ADECCO N,SHARE,Buy,B,2002-10-02 14:31:41,10,41.85,CH00121386051,SIX Swiss Exchange (SIX-Europe),CHF,418.5,Trading,CHF_CHF,0.684743906,0.674149729
200341,ADECCO N,SHARE,Sell,S,2002-10-10 11:44:59,10,37.55,CH00121386051,SIX Swiss Exchange (SIX-Europe),CHF,375.5,Trading,CHF_CHF,0.684228532,0.678035054
200341,CS PF (Lux) Fixed Inc (Euro) A,FUNDS,Buy,B,2002-10-10 13:38:25,8,56.49,LU0078038857,Investment Funds,EUR,451.92,Trading,CHF_EUR,1,0.9876
200341,Bank Hofmann Swiss Stocks,FUNDS,Buy,B,2002-10-14 11:43:14,5,76.86,CH0003545701,Investment Funds,CHF,384.3,Trading,CHF_CHF,0.683900971,0.676132522
200341,BANK HOFMANN DOLLARRENT,FUNDS,Buy,B,2002-10-14 11:43:41,2,116.91,GB0007362642,Investment Funds,USD,233.82,Trading,CHF_USD,1.011480301,1
200341,BANK HOFMANN EURO STOCKS,FUNDS,Buy,B,2002-10-14 11:44:16,5,70.33,GB0007362865,Investment Funds,EUR,351.65,Trading,CHF_EUR,1,0.9887
200341,ABB LTD N,SHARE,Buy,B,2002-10-16 09:13:48,1,4.65,CH00122217161,SIX Swiss Exchange (SIX-Europe),CHF,4.65,Trading,CHF_CHF,0.681709728,0.669814796
200341,ABB LTD N,SHARE,Sell,S,2002-10-16 10:04:18,1,5,CH00122217161,SIX Swiss Exchange (SIX-Europe),CHF,5,Trading,CHF_CHF,0.680480419,0.667534461
200341,ZURICH N ANR,DERIVATIVES,Buy,B,2002-10-17 11:33:43,10,39.85,CH00148248551,SIX Swiss Exchange (SIX-Europe),CHF,398.5,Trading,CHF_CHF,0.68136136,0.666000666
200341,SAP AG ST O.N.,SHARE,Buy,B,2002-10-23 14:03:10,5,68.96,DE0007164600,Xetra,EUR,344.8,Trading,CHF_EUR,1,0.97725
200341,SAP AG ST O.N.,SHARE,Sell,S,2002-10-23 14:51:56,5,68.94,DE0007164600,Xetra,EUR,344.7,Trading,CHF_EUR,1,0.97665
200341,WAPME SYSTEMS O.N.,SHARE,Buy,B,2002-10-23 15:39:46,100,0.9,DE0005495501,,EUR,90,Trading,CHF_EUR,1,0.97535
200341,WAPME SYSTEMS O.N.,SHARE,Sell,S,2002-10-23 15:47:53,100,0.84,DE0005495501,,EUR,84,Trading,CHF_EUR,1,0.97485
200341,Clariden Leu (Gue) Asia Equity Multi Manager Fund,FUNDS,Buy,B,2002-10-23 16:14:34,2,106.5,GB0007355513,Investment Funds,USD,213,Trading,CHF_USD,1.024747656,1
200341,ZURICH N ANR,DERIVATIVES,Sell,S,2002-10-24 16:27:31,1,40.75,CH00148248551,SIX Swiss Exchange (SIX-Europe),CHF,40.75,Trading,CHF_CHF,0.681268522,0.663592024
200341,WAPME SYSTEMS O.N.,SHARE,Buy,B,2002-10-29 11:16:14,150,1.09,DE0005495501,,EUR,163.5,Trading,CHF_EUR,1,0.98425
200341,BAYER AG O.N.,SHARE,Buy,B,2002-10-29 11:40:09,29,19.5,DE0005752000,Xetra,EUR,565.5,Trading,CHF_EUR,1,0.9842
200341,,OTHER,Cash_out,O,2002-10-30 04:03:20,1,1.5,,,EUR,1.5,Payment,CHF_EUR,1,0.98255
200341,WAPME SYSTEMS O.N.,SHARE,Sell,S,2002-10-30 19:07:00,150,0.97,DE0005495501,,EUR,145.5,Trading,CHF_EUR,1,0.98315
200341,PORSCHE AG VZO O.N.,SHARE,Buy,B,2002-10-30 19:08:32,1,470.75,DE0006937733,Xetra,EUR,470.75,Trading,CHF_EUR,1,0.98325
200341,,OTHER,Cash_out,O,2002-10-31 04:03:13,1,440,,,CHF,440,Payment,CHF_CHF,0.683386865,0.674877678
200341,,OTHER,Cash_out,O,2002-10-31 04:03:13,1,3,,,EUR,3,Payment,CHF_EUR,1,0.98755
200341,BANK HOFMANN EURO STOCKS,FUNDS,Sell,S,2002-11-01 17:12:42,5,79.92,GB0007362865,Investment Funds,EUR,399.6,Trading,CHF_EUR,1,0.99695
200341,LUFTHANSA AG VNA O.N.,SHARE,Buy,B,2002-11-05 16:09:19,5,12.43,DE0008232125,Xetra,EUR,62.15,Trading,CHF_EUR,1,1.00155
200341,WAPME SYSTEMS O.N.,SHARE,Buy,B,2002-11-05 16:14:37,40,1.22,DE0005495501,,EUR,48.8,Trading,CHF_EUR,1,1.00155
200341,WAPME SYSTEMS O.N.,SHARE,Sell,S,2002-11-05 18:31:14,40,1.14,DE0005495501,,EUR,45.6,Trading,CHF_EUR,1,1.00025
200341,,OTHER,Cash_out,O,2002-11-06 04:02:08,1,3,,,EUR,3,Payment,CHF_EUR,1,0.99875
200341,DT.TELEKOM AG NA,SHARE,Buy,B,2002-11-07 13:17:20,3,11.64,DE0005557508,Xetra,EUR,34.92,Trading,CHF_EUR,1,1.00105
200341,ZURICH INSURANCE N,SHARE,Sell,S,2002-11-08 15:45:36,6,135.75,CH00110753941,SIX Swiss Exchange (SIX-Europe),CHF,814.5,Trading,CHF_CHF,0.683176772,0.689893067
200341,WAPME SYSTEMS O.N.,SHARE,Buy,B,2002-11-08 15:51:45,300,1.08,DE0005495501,,EUR,324,Trading,CHF_EUR,1,1.00945
200341,BAYER AG O.N.,SHARE,Buy,B,2002-11-11 11:34:30,1,19.21,DE0005752000,Xetra,EUR,19.21,Trading,CHF_EUR,1,1.01465
200341,DT.TELEKOM AG NA,SHARE,Buy,B,2002-11-11 11:38:02,1,10.6,DE0005557508,Xetra,EUR,10.6,Trading,CHF_EUR,1,1.01475
200341,LUFTHANSA AG VNA O.N.,SHARE,Sell,S,2002-11-11 14:08:37,5,11.25,DE0008232125,Xetra,EUR,56.25,Trading,CHF_EUR,1,1.0133
200341,iSh SMI CH CHF D,ETF,Buy,B,2002-11-12 16:31:54,1,48.48,CH00088997644,SIX Swiss Exchange,CHF,48.48,Trading,CHF_CHF,0.684064713,0.691061124
200341,Pictet-World Government Bonds -P USD,FUNDS,Buy,B,2002-11-29 14:40:57,1,108.55,LU0133805894,Investment Funds,USD,108.55,Trading,CHF_USD,1.007658202,1
200341,WAPME SYSTEMS O.N.,SHARE,Sell,S,2002-12-11 15:43:25,300,0.83,DE0005495501,,EUR,249,Trading,CHF_EUR,1,1.00765
200341,BAYER AG O.N.,SHARE,Sell,S,2002-12-11 15:44:07,30,22.55,DE0005752000,Xetra,EUR,676.5,Trading,CHF_EUR,1,1.00755
200341,DT.TELEKOM AG NA,SHARE,Sell,S,2002-12-11 15:44:52,4,12.74,DE0005557508,Xetra,EUR,50.96,Trading,CHF_EUR,1,1.00785
200341,ERICSSON B (FRIA)    SK 1,SHARE,Buy,B,2002-12-18 14:31:10,550,0.76,SE0000108656,Xetra,EUR,418,Trading,CHF_EUR,1,1.02545
200341,ERICSSON B (FRIA)    SK 1,SHARE,Buy,B,2002-12-18 14:32:14,200,0.76,SE0000108656,Xetra,EUR,152,Trading,CHF_EUR,1,1.02585
200341,ERICSSON B (FRIA)    SK 1,SHARE,Sell,S,2003-01-07 16:28:37,750,0.82,SE0000108656,Xetra,EUR,615,Trading,CHF_EUR,1,1.04345
200341,Bank Hofmann Swiss Stocks,FUNDS,Sell,S,2003-01-15 14:16:57,3,80.9,CH0003545701,Investment Funds,CHF,242.7,Trading,CHF_CHF,0.683270131,0.719269222
200341,INTEL ORD,SHARE,Buy,B,2003-01-15 16:34:20,10,17.62,US4581401001,NASDAQ New York,USD,176.2,Trading,CHF_USD,0.945492365,1
200341,INTEL ORD,SHARE,Buy,B,2003-01-15 16:58:38,10,17.71,US4581401001,NASDAQ New York,USD,177.1,Trading,CHF_USD,0.944688489,1
200341,INTEL ORD,SHARE,Sell,S,2003-01-15 17:00:43,10,17.64,US4581401001,NASDAQ New York,USD,176.4,Trading,CHF_USD,0.944376239,1
200341,GENERAL ELECTRIC ORD,SHARE,Buy,B,2003-01-15 17:03:18,10,25.38,US3696041033,New York Stock Exchange (NYSE),USD,253.8,Trading,CHF_USD,0.944420834,1
200341,PROTEIN DESIGN LABS INC,SHARE,Buy,B,2003-01-15 17:08:03,10,9.76,US74369L1035,NASDAQ New York,USD,97.6,Trading,CHF_USD,0.944599254,1
200341,CNET NETWORKS,SHARE,Buy,B,2003-01-15 17:09:53,10,2.93,US12613R1041,NASDAQ New York,USD,29.3,Trading,CHF_USD,0.944420834,1
200341,PEPSICO ORD,SHARE,Buy,B,2003-01-15 17:12:17,10,43.14,US7134481081,New York Stock Exchange (NYSE),USD,431.4,Trading,CHF_USD,0.944153331,1
200341,GATEWAY ORD,SHARE,Buy,B,2003-01-15 17:16:39,10,3.01,US3676261080,New York Stock Exchange (NYSE),USD,30.1,Trading,CHF_USD,0.94486701,1
200341,STARBUCKS ORD,SHARE,Buy,B,2003-01-15 17:21:03,10,20.24,US8552441094,NASDAQ New York,USD,202.4,Trading,CHF_USD,0.945134918,1
200341,INTEL ORD,SHARE,Sell,S,2003-01-16 16:07:24,10,17.38,US4581401001,NASDAQ New York,USD,173.8,Trading,CHF_USD,0.946745562,1
200341,GENERAL ELECTRIC ORD,SHARE,Sell,S,2003-01-16 16:08:33,10,25.41,US3696041033,New York Stock Exchange (NYSE),USD,254.1,Trading,CHF_USD,0.946566331,1
200341,PROTEIN DESIGN LABS INC,SHARE,Sell,S,2003-01-16 16:09:43,10,10.04,US74369L1035,NASDAQ New York,USD,100.4,Trading,CHF_USD,0.946835203,1
200341,CNET NETWORKS,SHARE,Sell,S,2003-01-16 16:10:49,10,2.81,US12613R1041,NASDAQ New York,USD,28.1,Trading,CHF_USD,0.946745562,1
200341,PEPSICO ORD,SHARE,Sell,S,2003-01-16 16:11:51,10,43.49,US7134481081,New York Stock Exchange (NYSE),USD,434.9,Trading,CHF_USD,0.946835203,1
200341,GATEWAY ORD,SHARE,Sell,S,2003-01-16 16:14:33,10,3.11,US3676261080,New York Stock Exchange (NYSE),USD,31.1,Trading,CHF_USD,0.946655938,1
200341,STARBUCKS ORD,SHARE,Sell,S,2003-01-16 16:15:47,10,20.36,US8552441094,NASDAQ New York,USD,203.6,Trading,CHF_USD,0.946655938,1
200341,SIEMENS N,SHARE,Buy,B,2003-01-16 16:39:42,10,42.05,DE00072361011,SIX Swiss Exchange (SIX-Europe),EUR,420.5,Trading,CHF_EUR,1,1.05675
200341,RED HAT,SHARE,Buy,B,2003-01-17 19:51:02,10,5.99,US7565771026,NASDAQ New York,USD,59.9,Trading,CHF_USD,0.938218323,1
200341,RED HAT,SHARE,Buy,B,2003-01-17 19:51:53,10,5.99,US7565771026,NASDAQ New York,USD,59.9,Trading,CHF_USD,0.93835038,1
200341,,OTHER,Cash_in,I,2003-01-18 04:02:51,1,5000,,,USD,5000,Income,CHF_USD,0.937031484,1
200341,RED HAT,SHARE,Sell,S,2003-01-21 15:37:46,20,6.1,US7565771026,NASDAQ New York,USD,122,Trading,CHF_USD,0.938658657,1
200341,RED HAT,SHARE,Buy,B,2003-01-21 20:22:48,200,6.06,US7565771026,NASDAQ New York,USD,1212,Trading,CHF_USD,0.932270545,1
200341,CITIZENS INC,SHARE,Buy,B,2003-01-21 20:30:50,100,7.04,US1747401008,New York Stock Exchange (NYSE),USD,704,Trading,CHF_USD,0.932270545,1
200341,PROCTER & GAMBLE ORD,SHARE,Buy,B,2003-01-21 20:41:17,30,86.87,US7427181091,New York Stock Exchange (NYSE),USD,2606.1,Trading,CHF_USD,0.93300989,1
200341,PROCTER & GAMBLE ORD,SHARE,Sell,S,2003-01-22 19:00:46,30,85.5,US7427181091,New York Stock Exchange (NYSE),USD,2565,Trading,CHF_USD,0.932531356,1
200341,CS PF (Lux) Fixed Inc (Euro) A,FUNDS,Buy,B,2003-01-24 17:21:12,6,56.89,LU0078038857,Investment Funds,EUR,341.34,Trading,CHF_EUR,1,1.08115
200341,CS PF (Lux) Fixed Inc (Euro) A,FUNDS,Sell,S,2003-01-24 17:23:00,4,56.89,LU0078038857,Investment Funds,EUR,227.56,Trading,CHF_EUR,1,1.08125
200341,BAYER AG O.N.,SHARE,Buy,B,2003-01-24 18:50:27,10,17.45,DE0005752000,Xetra,EUR,174.5,Trading,CHF_EUR,1,1.0833
200341,BIOLITEC AG O.N.,SHARE,Buy,B,2003-01-24 19:11:35,100,2.95,DE0005213409,,EUR,295,Trading,CHF_EUR,1,1.08455
200341,ORACLE ORD,SHARE,Buy,B,2003-01-24 19:18:58,200,11.72,US68389X1054,NASDAQ New York,USD,2344,Trading,CHF_USD,0.922126424,1
200341,PHILIP MORRIS COS INC,SHARE,Buy,B,2003-01-24 19:33:39,50,39,US7181541076,New York Stock Exchange (NYSE),USD,1950,Trading,CHF_USD,0.922594335,1
200341,BAYER AG O.N.,SHARE,Buy,B,2003-01-27 10:31:43,50,16.55,DE0005752000,Xetra,EUR,827.5,Trading,CHF_EUR,1,1.0874
200341,PORSCHE AG VZO O.N.,SHARE,Sell,S,2003-01-28 15:10:49,1,362.01,DE0006937733,Xetra,EUR,362.01,Trading,CHF_EUR,1,1.08085
200341,SIEMENS N,SHARE,Sell,S,2003-01-28 15:12:52,10,35.25,DE00072361011,SIX Swiss Exchange (SIX-Europe),EUR,352.5,Trading,CHF_EUR,1,1.08095
200341,BAYER AG O.N.,SHARE,Sell,S,2003-01-28 15:13:04,60,16.52,DE0005752000,Xetra,EUR,991.2,Trading,CHF_EUR,1,1.08095
200341,BIOLITEC AG O.N.,SHARE,Sell,S,2003-01-28 15:13:31,100,2.93,DE0005213409,,EUR,293,Trading,CHF_EUR,1,1.08085
200341,iSh SMI CH CHF D,ETF,Sell,S,2003-01-29 12:57:15,1,42.17,CH00088997644,SIX Swiss Exchange,CHF,42.17,Trading,CHF_CHF,0.680920605,0.74000074
200341,CITIZENS INC,SHARE,Sell,S,2003-01-29 15:36:29,100,7.09,US1747401008,New York Stock Exchange (NYSE),USD,709,Trading,CHF_USD,0.920937514,1
200341,ALTRIA GROUP ORD,SHARE,Sell,S,2003-01-29 17:47:48,50,37.07,US02209S1033,New York Stock Exchange (NYSE),USD,1853.5,Trading,CHF_USD,0.92085271,1
200341,ORACLE ORD,SHARE,Sell,S,2003-01-29 17:49:36,200,11.76,US68389X1054,NASDAQ New York,USD,2352,Trading,CHF_USD,0.92140422,1
200341,RED HAT,SHARE,Sell,S,2003-01-29 17:50:08,200,5.52,US7565771026,NASDAQ New York,USD,1104,Trading,CHF_USD,0.92140422,1
200341,Clariden Leu (Gue) Asia Equity Multi Manager Fund,FUNDS,Sell,S,2003-02-05 14:59:27,2,111.14,GB0007355513,Investment Funds,USD,222.28,Trading,CHF_USD,0.919413414,1
200341,ABB LTD N,SHARE,Buy,B,2003-02-17 14:20:53,1000,3.49,CH00122217161,SIX Swiss Exchange (SIX-Europe),CHF,3490,Trading,CHF_CHF,0.679071031,0.727272727
200341,GILDEMEISTER AG O.N.,SHARE,Buy,B,2003-02-18 19:42:49,500,3.83,DE0005878003,Xetra,EUR,1915,Trading,CHF_EUR,1,1.0691
200341,GILDEMEISTER AG O.N.,SHARE,Sell,S,2003-02-18 19:46:41,500,3.79,DE0005878003,Xetra,EUR,1895,Trading,CHF_EUR,1,1.0689
200341,BNP PARIBAS ACT.A ORD,SHARE,Buy,B,2003-03-03 15:46:44,10,39.43,FR0000131104,Euronext Paris,EUR,394.3,Trading,CHF_EUR,1,1.0811
200341,SAURER --- NAMEN AKT. CHF 11.5,SHARE,Buy,B,2003-03-04 12:16:45,20,30,CH00123451434,SIX Swiss Exchange,CHF,600,Trading,CHF_CHF,0.685119211,0.747663551
200341,GENERALI N,SHARE,Buy,B,2003-03-04 12:20:23,10,137,CH00050724154,SIX Swiss Exchange,CHF,1370,Trading,CHF_CHF,0.685119211,0.747440018
200341,KUDELSKI I,SHARE,Buy,B,2003-03-04 12:22:27,20,16.45,CH00122683601,SIX Swiss Exchange (SIX-Europe),CHF,329,Trading,CHF_CHF,0.685166153,0.747607656
200341,BNP PARIBAS ACT.A ORD,SHARE,Sell,S,2003-03-04 12:43:51,10,37.96,FR0000131104,Euronext Paris,EUR,379.6,Trading,CHF_EUR,1,1.0906
200341,Bank Hofmann Swiss Stocks,FUNDS,Buy,B,2003-03-05 16:00:39,2,66.525,CH0003545701,Investment Funds,CHF,133.05,Trading,CHF_CHF,0.68544794,0.751540658
200341,,OTHER,Cash_in,I,2003-03-06 04:04:12,1,25,,,CHF,25,Income,CHF_CHF,0.68544794,0.751992781
200341,BNP PARIBAS ACT.A ORD,SHARE,Buy,B,2003-03-12 15:57:57,10,33.33,FR0000131104,Euronext Paris,EUR,333.3,Trading,CHF_EUR,1,1.1012
200341,LAFARGE ORD,SHARE,Buy,B,2003-03-12 16:53:10,8,43.79,FR0000120537,Euronext Paris,EUR,350.32,Trading,CHF_EUR,1,1.1023
200341,ABB LTD N,SHARE,Sell,S,2003-03-12 16:57:04,500,2.83,CH00122217161,SIX Swiss Exchange (SIX-Europe),CHF,1415,Trading,CHF_CHF,0.681291729,0.750694392
200341,BOUYGUES ORD,SHARE,Buy,B,2003-03-12 17:04:08,50,16.99,FR0000120503,Euronext Paris,EUR,849.5,Trading,CHF_EUR,1,1.1019
200341,MICHELIN ORD,SHARE,Buy,B,2003-03-14 13:21:29,4,27.25,FR0000121261,Euronext Paris,EUR,109,Trading,CHF_EUR,1,1.0766
200341,GENERALI N,SHARE,Sell,S,2003-03-14 13:32:20,3,125,CH00050724154,SIX Swiss Exchange,CHF,375,Trading,CHF_CHF,0.681291729,0.732922897
200341,GENERALI N,SHARE,Sell,S,2003-03-14 17:04:35,7,125,CH00050724154,SIX Swiss Exchange,CHF,875,Trading,CHF_CHF,0.681523887,0.733568075
200341,SAURER --- NAMEN AKT. CHF 11.5,SHARE,Sell,S,2003-03-20 09:17:04,20,35,CH00123451434,SIX Swiss Exchange,CHF,700,Trading,CHF_CHF,0.680410968,0.723641363
200341,ABB LTD N,SHARE,Sell,S,2003-03-20 10:02:49,500,3.8,CH00122217161,SIX Swiss Exchange (SIX-Europe),CHF,1900,Trading,CHF_CHF,0.680040802,0.722386766
200341,LAFARGE ORD,SHARE,Sell,S,2003-03-21 11:54:03,8,58,FR0000120537,Euronext Paris,EUR,464,Trading,CHF_EUR,1,1.0593
